latitude,	longitude,	depth, salinity
38.4513302	-123.1276396	4280	0
38.4513233	-123.1276361	4428	0.19
38.4512898	-123.1276149	5058	0
38.4512671	-123.127601	5159	0.38
38.4512232	-123.1275784	5190	0.38
38.4512013	-123.1275674	5168	0.07
38.4511937	-123.1275636	5133	0
38.4511839	-123.127558	5115	0
38.4511681	-123.1275505	5069	0.25
38.4511603	-123.1275463	5071	0.19
38.451141	-123.1275351	5061	0.25
38.4511276	-123.1275272	5035	0
38.4511181	-123.1275212	5026	0
38.4510965	-123.1275097	5012	0.25
38.4510718	-123.1274981	4988	0.38
38.4510598	-123.1274923	4979	0.5
38.4510515	-123.1274891	4975	0.25
38.4510422	-123.1274843	4962	0
38.4510364	-123.1274808	4968	0
38.4510209	-123.1274713	4978	0.19
38.4510033	-123.12746	4974	0
38.4509911	-123.1274532	4959	0.07
38.4509582	-123.1274376	4996	0.07
38.4509421	-123.1274291	5012	0
38.4509326	-123.1274233	5002	0.07
38.4509172	-123.1274127	4984	0.13
38.4509076	-123.1274067	4988	0.32
38.4508964	-123.1273995	4978	0
38.4508805	-123.1273907	4934	0.38
38.4508606	-123.1273798	4800	0.07
38.4508465	-123.1273738	4708	0.07
38.4508361	-123.1273697	4675	0.38
38.4508303	-123.1273676	4648	0
38.4508219	-123.1273641	4627	0
38.4508112	-123.1273597	4614	0.07
38.4507937	-123.1273506	4585	0.25
38.4507811	-123.1273419	4535	0.19
38.4507613	-123.1273274	4497	0.13
38.4507346	-123.127311	4514	0
38.4507174	-123.1273042	4536	0.19
38.4507043	-123.1273	4544	0
38.4506877	-123.1272933	4551	0
38.450682	-123.1272901	4583	0
38.4506407	-123.1272644	4608	0.38
38.4506263	-123.1272537	4621	0
38.4506068	-123.1272423	4668	0.19
38.4505906	-123.1272339	4697	0
38.4505653	-123.1272234	4766	0.25
38.4505467	-123.1272163	4821	0
38.4505306	-123.1272084	4860	0.25
38.4505135	-123.1271974	4943	0.25
38.4505006	-123.1271877	4976	0.25
38.4504719	-123.1271692	5029	0.25
38.4504502	-123.1271585	5072	0.19
38.450436	-123.1271524	5101	0
38.4504297	-123.1271496	5111	0.13
38.4504198	-123.1271447	5167	0.07
38.4503921	-123.1271301	5294	0.25
38.4503751	-123.1271202	5366	0.25
38.4503694	-123.1271167	5410	0.38
38.4503637	-123.1271135	5438	0.38
38.4503502	-123.1271055	5464	0.07
38.4503366	-123.1270983	5472	0.38
38.4503205	-123.127091	5522	0.07
38.4503024	-123.1270826	5616	0
38.4502924	-123.127078	5658	0.38
38.4502802	-123.1270716	5674	0.25
38.4502651	-123.1270621	5735	0
38.4502484	-123.1270511	5761	0.25
38.4502333	-123.1270429	5835	0.5
38.4502238	-123.1270378	5901	0.32
38.4502177	-123.1270348	5912	0.5
38.4501962	-123.1270229	6007	0
38.4501881	-123.1270189	6032	0.25
38.4501779	-123.1270138	6043	0.13
38.450166	-123.1270074	6054	0
38.4501501	-123.1269993	6111	0.25
38.45014	-123.1269941	6123	0.07
38.4501301	-123.1269886	6154	0.25
38.4500937	-123.1269666	6241	0.5
38.4500742	-123.1269556	6281	0.32
38.4500472	-123.1269392	6310	0.13
38.4500435	-123.1269368	6317	0.38
38.4500222	-123.1269247	6354	0.5
38.4499923	-123.1269121	6354	0.25
38.4499762	-123.1269059	6360	0.13
38.4499667	-123.1269015	6365	0.13
38.4499587	-123.1268975	6372	0.19
38.4499324	-123.1268836	6420	0.38
38.4499244	-123.1268785	6429	0.25
38.4499043	-123.1268654	6505	0.38
38.4498967	-123.1268608	6564	0.32
38.4498873	-123.1268547	6615	0.19
38.4498722	-123.1268458	6616	0.07
38.4498622	-123.1268406	6688	0.38
38.4498423	-123.1268304	6720	0
38.449824	-123.1268221	6736	0.07
38.4498139	-123.1268176	6716	0.5
38.4498022	-123.1268111	6723	0.19
38.4497943	-123.1268064	6697	0.07
38.4497785	-123.1267973	6664	0.19
38.4497709	-123.1267928	6640	0.13
38.4497391	-123.1267761	6570	0.25
38.4497349	-123.1267714	6579	0.07
38.4497355	-123.1267678	6666	0.25
38.4497504	-123.1267391	6993	0.07
38.449751	-123.1267236	7159	0
38.4497484	-123.1267091	7274	0.13
38.4497451	-123.1266964	7359	0.25
38.4497428	-123.1266809	7396	0
38.4497416	-123.1266624	7415	0
38.4497419	-123.1266494	7448	0.19
38.4497426	-123.1266384	7495	0
38.4497441	-123.126618	7510	0.13
38.4497462	-123.1265999	7455	0.19
38.4497479	-123.1265863	7381	0
38.4497489	-123.1265734	7289	0.07
38.4497496	-123.1265625	7201	0.07
38.4497499	-123.1265362	7034	0.19
38.4497484	-123.1265102	6840	0.38
38.4497472	-123.1264979	6771	0.07
38.4497445	-123.1264698	6559	0.19
38.4497438	-123.1264536	6444	0.07
38.4497445	-123.1264327	6286	0.13
38.4497457	-123.1264128	6166	0
38.4497461	-123.126402	6068	0.25
38.4497462	-123.1263912	6011	0
38.4497456	-123.1263699	5902	0
38.4497453	-123.1263588	5833	0.25
38.4497453	-123.1263448	5728	0.25
38.4497447	-123.1263159	5566	0
38.4497449	-123.1262951	5424	0
38.4497451	-123.1262008	5004	0
38.4497456	-123.1261847	4897	0
38.4497459	-123.1261736	4863	0.07
38.4497466	-123.1261461	4775	0.13
38.4497468	-123.1261212	4666	0.25
38.4497471	-123.1261107	4626	0.07
38.4497474	-123.1260888	4565	0
38.4497477	-123.1260748	4546	0.25
38.449747	-123.1260293	4499	0
38.449746	-123.126	4460	0.13
38.4497457	-123.1259844	4446	0
38.4497461	-123.1259592	4405	0.07
