latitude,	longitude,	depth, salinity
38.4497195	-123.1256744	3777	0.19
38.4497041	-123.1256736	3840	0.25
38.4496842	-123.1256692	3956	0.25
38.4496768	-123.1256641	3985	0.07
38.44967	-123.1256581	3996	0
38.4496637	-123.1256512	4002	0
38.4496564	-123.1256418	4028	0
38.4496492	-123.1256325	4049	0
38.4496379	-123.1256176	4069	0
38.4496267	-123.1256055	4119	0.38
38.4496127	-123.1255938	4179	0
38.4496017	-123.125586	4243	0.5
38.449583	-123.1255741	4280	0.25
38.4495735	-123.1255679	4316	0.38
38.4495655	-123.1255632	4347	0
38.4495589	-123.1255598	4402	0
38.4495558	-123.1255597	4439	0.07
38.4495551	-123.1255614	4461	0.07
38.4495552	-123.1255625	4460	0
38.449556	-123.1255647	4459	0.13
38.4495608	-123.1255765	4483	0
38.4495655	-123.1255921	4488	0.25
38.4495665	-123.1256023	4491	0.19
38.4495667	-123.1256131	4493	0.07
38.4495643	-123.1256341	4537	0
38.4495626	-123.1256642	4625	0.25
38.4495625	-123.1256945	4720	0.38
38.449565	-123.125733	4732	0
38.4495665	-123.1257465	4756	0.07
38.4495678	-123.1257622	4775	0.19
38.4495672	-123.1258081	4847	0
38.4495666	-123.1258274	4873	0.32
38.4495658	-123.1258524	4932	0
38.4495649	-123.1258801	5026	0.25
38.4495646	-123.1258966	5064	0.19
38.449565	-123.1259075	5088	0.07
38.4495657	-123.125921	5140	0
38.4495661	-123.1259317	5168	0
38.4495668	-123.1259453	5186	0
38.449567	-123.1259535	5208	0
38.4495678	-123.1259672	5248	0.07
38.4495687	-123.1260006	5324	0
38.4495679	-123.1260398	5459	0.38
38.4495677	-123.1260508	5473	0
38.4495675	-123.1260593	5503	0.32
38.4495674	-123.1260793	5541	0.38
38.4495669	-123.1260989	5590	0
38.4495666	-123.1261232	5662	0.19
38.4495668	-123.1261415	5712	0.19
38.4495666	-123.1261733	5860	0.19
38.4495665	-123.1261894	5923	0
38.4495672	-123.1262619	6307	0.07
38.4495671	-123.1262728	6408	0.38
38.4495669	-123.1262917	6531	0
38.4495667	-123.1263076	6672	0.13
38.4495671	-123.1263213	6834	0
38.4495675	-123.1263405	7014	0.07
38.4495676	-123.126363	7164	0.25
38.4495671	-123.1263848	7374	0
38.4495667	-123.1264042	7512	0
38.4495667	-123.1264344	7669	0.13
38.4495654	-123.1264671	7814	0.19
38.4495647	-123.1265049	7731	0.25
38.4495649	-123.1265236	7702	0
38.4495649	-123.1265338	7731	0.07
38.4495657	-123.1265433	7737	0
38.4495687	-123.126552	7700	0.32
38.4495694	-123.1265539	7717	0
38.4495716	-123.1265556	7735	0.19
38.4495728	-123.1265536	7737	0
38.4495739	-123.1265473	7744	0.25
38.4495728	-123.1265354	7736	0
38.4495637	-123.1265186	7712	0.07
38.4495545	-123.1265108	7734	0.19
38.449541	-123.1265016	7733	0.07
38.449533	-123.1264953	7774	0.38
38.4495239	-123.1264862	7773	0
38.4495186	-123.1264789	7761	0.13
38.4495122	-123.1264694	7788	0.25
38.4495054	-123.126457	7824	0.38
38.4495001	-123.1264457	7793	0.07
38.449492	-123.1264304	7773	0.13
38.4494791	-123.1264102	7811	0.25
38.4494723	-123.1264005	7819	0.25
38.4494597	-123.1263855	7825	0.38
38.4494533	-123.1263783	7840	0.07
38.4494352	-123.1263586	7863	0
38.4494209	-123.1263426	7866	0.07
38.4494109	-123.1263288	7923	0.13
38.4494001	-123.1263093	8002	0.25
38.449392	-123.1262938	7985	0.07
38.4493867	-123.1262798	7983	0
38.4493834	-123.1262502	7986	0.25
38.4493859	-123.12622	7912	0.19
38.4493889	-123.1261952	7836	0.25
38.4493906	-123.1261652	7795	0.25
38.4493898	-123.1261435	7708	0.38
38.4493882	-123.1261256	7620	0.19
38.4493867	-123.1261074	7537	0.07
38.4493854	-123.1260948	7487	0.25
38.4493846	-123.1260842	7388	0.25
38.449384	-123.1260735	7340	0.13
38.4493836	-123.1260597	7218	0.5
38.4493841	-123.1260327	6956	0
38.4493849	-123.1260089	6656	0
38.4493868	-123.1259539	6117	0.38
38.4493868	-123.1259405	6007	0
38.4493843	-123.1258951	5826	0
38.4493838	-123.1258846	5808	0.07
38.449383	-123.1258685	5758	0.13
38.4493836	-123.1258386	5647	0
38.449384	-123.1258229	5574	0
38.4493853	-123.1257723	5515	0
38.4493856	-123.1257449	5473	0.38
38.4493859	-123.1257285	5467	0.25
38.4493866	-123.1257019	5407	0.25
38.4493869	-123.1256807	5413	0.07
38.4493862	-123.1256597	5407	0.25
38.4493851	-123.1256387	5424	0.5
38.4493853	-123.1256167	5403	0.19
38.4493849	-123.1256036	5391	0.25
38.4493847	-123.1255898	5372	0.19
38.4493845	-123.1255661	5325	0.19
38.449386	-123.1255367	5282	0.25
38.4493863	-123.1254996	5211	0.07
38.4493859	-123.1254754	5176	0.5
38.4493856	-123.1254564	5184	0.25
38.4493849	-123.12544	5171	0.38
38.4493852	-123.1254291	5123	0
38.4493853	-123.1254085	5080	0
38.4493834	-123.1254044	5096	0.13
38.4493841	-123.1254054	5102	0
38.4493832	-123.1254105	5108	0
38.449372	-123.1254265	5190	0.07
38.4493632	-123.1254307	5235	0.07
38.4493576	-123.1254328	5253	0
38.4493392	-123.1254395	5320	0
38.4493155	-123.1254523	5422	0.19
38.4492968	-123.1254642	5435	0.25
38.4492856	-123.1254715	5478	0.25
38.4492566	-123.1254879	5584	0.19
38.4492431	-123.125494	5693	0
38.4492159	-123.1255058	5948	0
38.4491989	-123.1255167	5980	0
38.4491969	-123.1255211	5993	0.25
38.4491969	-123.1255248	6011	0.07
38.4491974	-123.125528	6039	0.13
38.4492001	-123.1255352	6046	0.25
38.449204	-123.1255472	6055	0.25
38.4492077	-123.1255655	6099	0.25
38.4492076	-123.1255776	6136	0
38.4492057	-123.125596	6244	0.13
38.4492013	-123.125636	6541	0.38
38.4492021	-123.1256683	6764	0
38.4492043	-123.1256893	6838	0
38.4492064	-123.12571	6996	0.25
38.4492067	-123.1257258	7070	0
38.4492066	-123.1257339	7129	0
38.4492057	-123.1257556	7301	0.25
38.4492058	-123.1257719	7456	0
38.4492059	-123.1257802	7480	0.19
38.4492062	-123.1257965	7520	0.07
38.4492065	-123.1258236	7636	0
38.4492069	-123.1258372	7696	0.13
38.4492074	-123.1258538	7770	0
38.4492059	-123.1259344	7864	0
38.4492063	-123.1259536	7867	0.19
38.4492067	-123.1259668	7875	0.25
38.4492066	-123.1259803	7865	0.13
38.4492057	-123.1260134	7757	0.38
38.449206	-123.1260461	7688	0
38.4492073	-123.1260599	7649	0
38.4492143	-123.1260932	7608	0
38.44922	-123.1261191	7617	0.25
38.4492282	-123.1261589	7520	0.07
38.4492325	-123.1261746	7538	0.19
38.449245	-123.1262189	7406	0.07
38.4492469	-123.1262269	7410	0.25
38.4492518	-123.1262484	7354	0.25
38.4492557	-123.1262729	7230	0.25
38.4492622	-123.1263181	7018	0.19
38.4492729	-123.1263589	6948	0.19
38.449276	-123.1263717	6898	0
38.4492819	-123.1263974	6876	0.07
38.4492868	-123.1264244	6889	0.19
38.4492896	-123.1264406	6887	0.19
38.4492962	-123.1264727	6919	0.07
38.449304	-123.1265071	6818	0
38.4493097	-123.1265333	6577	0.25
38.4493121	-123.1265437	6452	0.19
38.4493201	-123.1265803	5787	0
38.4493234	-123.1265963	5438	0
38.4493269	-123.1266122	5077	0
38.4493294	-123.1266227	4747	0.25
38.4493362	-123.1266517	3791	0.25
38.4493404	-123.126673	2963	0.07
38.4493485	-123.1267266	963	0
38.4493613	-123.1267768	379	0
